Date,Time,HeatingStatus,CurrentTemperature,SetTemperature
29/04/2021,15:15:05,OFF,18.9,18.0
29/04/2021,15:30:06,OFF,18.9,18.0
29/04/2021,15:45:05,OFF,18.9,18.0
29/04/2021,16:00:07,OFF,18.9,18.0
29/04/2021,16:15:05,OFF,18.9,18.0
29/04/2021,16:30:05,OFF,18.9,18.0
29/04/2021,16:45:05,OFF,18.9,18.0
29/04/2021,17:00:08,OFF,19.0,18.0
29/04/2021,17:15:05,OFF,19.0,18.0
29/04/2021,17:30:06,OFF,19.1,18.0
29/04/2021,17:45:05,OFF,19.1,19.0
29/04/2021,18:00:06,OFF,19.1,19.0
29/04/2021,18:15:05,OFF,19.1,19.0
29/04/2021,18:30:06,OFF,19.1,19.0
29/04/2021,18:45:05,OFF,19.1,19.0
29/04/2021,19:00:06,OFF,19.0,19.0
29/04/2021,19:15:05,OFF,19.0,19.0
29/04/2021,19:30:06,OFF,19.1,19.0
29/04/2021,19:45:05,OFF,19.1,19.0
29/04/2021,20:00:06,OFF,19.1,19.0
29/04/2021,20:15:06,OFF,19.1,19.0
29/04/2021,20:30:06,OFF,19.1,19.0
29/04/2021,20:45:06,OFF,19.0,19.0
29/04/2021,21:00:06,OFF,19.0,19.0
29/04/2021,21:15:06,OFF,19.1,19.0
29/04/2021,21:30:06,OFF,19.2,19.0
29/04/2021,21:45:05,OFF,19.2,19.0
29/04/2021,22:00:06,OFF,19.1,19.0
29/04/2021,22:15:06,OFF,19.0,19.0
29/04/2021,22:30:06,ON,18.9,19.0
29/04/2021,22:45:05,OFF,19.0,16.0
29/04/2021,23:00:06,OFF,19.0,16.0
29/04/2021,23:15:06,OFF,18.9,16.0
29/04/2021,23:30:06,OFF,18.8,16.0
29/04/2021,23:45:05,OFF,18.7,16.0
30/04/2021,00:15:06,OFF,18.6,16.0
30/04/2021,00:30:06,OFF,18.5,16.0
30/04/2021,00:45:05,OFF,18.5,16.0
30/04/2021,01:00:06,OFF,18.4,16.0
30/04/2021,01:15:06,OFF,18.4,16.0
30/04/2021,01:30:05,OFF,18.3,16.0
30/04/2021,01:45:06,OFF,18.2,16.0
30/04/2021,02:00:06,OFF,18.2,16.0
30/04/2021,02:15:06,OFF,18.1,16.0
30/04/2021,02:30:06,OFF,18.1,16.0
30/04/2021,02:45:06,OFF,18.0,16.0
30/04/2021,03:00:06,OFF,18.0,16.0
30/04/2021,03:15:06,OFF,17.9,16.0
30/04/2021,03:30:06,OFF,17.9,16.0
30/04/2021,03:45:05,OFF,17.8,16.0
30/04/2021,04:00:06,OFF,17.8,16.0
30/04/2021,04:15:06,OFF,17.7,16.0
30/04/2021,04:30:07,OFF,17.7,16.0
30/04/2021,04:45:06,OFF,17.6,16.0
30/04/2021,05:00:06,OFF,17.6,16.0
30/04/2021,05:15:06,OFF,17.5,16.0
30/04/2021,05:30:06,OFF,17.5,16.0
30/04/2021,05:45:06,OFF,17.5,16.0
30/04/2021,06:00:06,OFF,17.4,16.0
30/04/2021,06:15:06,ON,17.5,19.0
